"Name","Gross Import","Share"
"Slovenia","101324932","0.051356731817558746"
"Sweden","1740772955","0.882314037034777"
"Eswatini","582468","0.0002952249982098168"
"Seychelles","3821748","0.0019370601414298654"
"Syria","861257","0.0004365297257243182"
"Togo","13749318","0.006968867614935416"
"Thailand","9297276018","4.712341786622137"
"Timor-Leste","1383221","0.0007010881580598093"
"Tonga","1881305","0.0009535429676087259"
"Trinidad and Tobago","4086111","0.002071053023788625"
"Tunisia","23632775","0.011978316331657711"
"Turkey","660742390","0.3348985195837369"
"Tuvalu","100722","0.00005105113460256901"
"Tanzania","4734891","0.0023998883835655823"
"Uganda","2175695","0.001102755091232664"
"Ukraine","45041344","0.022829289680751118"
"Uruguay","9999878","0.005068456918918098"
"United States of America","26039793727","13.198318287764433"
"Uzbekistan","289929","0.00014695105740740086"
"Venezuela","484440","0.00024553932255980354"
"British Virgin Islands","1587922","0.000804841243823401"
"Vietnam","3444896485","1.7460522442728685"
"Vanuatu","1068686","0.000541665503404232"
"Samoa","3736792","0.001894000033496188"
"Yemen","70412285","0.03568859870941255"
"South Africa","665992862","0.33755973116411675"
"Zambia","17297239","0.008767138027856934"
"Zimbabwe","288696","0.00014632610904492826"
"Taiwan","3173506159","1.6084975485513668"
"Undeclared","2693178490","1.3650425686715273"
